id;start_date;end_date;language
1;2022-02-09T07:54:57;2022-02-09T05:45:12;ENGLISH
2;2022-02-08T17:22:32;2022-02-09T02:48:01;FRENCH
3;2022-02-09T03:18:44;2022-02-08T15:23:52;SPANISH
4;2022-02-09T07:49:33;2022-02-08T13:15:52;FRENCH
5;2022-02-09T10:05:56;2022-02-08T18:24:54;ENGLISH
6;2022-02-08T19:36:39;2022-02-09T09:36:59;SPANISH
7;2022-02-09T03:40:27;2022-02-08T14:14:36;FRENCH
8;2022-02-08T18:06:20;2022-02-08T14:42:09;FRENCH
9;2022-02-08T18:57:58;2022-02-09T06:29:24;FRENCH
10;2022-02-08T14:54:56;2022-02-09T07:52:25;FRENCH
